n_gram,count
btc eth,164357
bitcoin btc,156995
btc bitcoin,126182
crypto bitcoin,105660
bitcoin ethereum,83527
bitcoin crypto,76679
btc crypto,58443
bitcoin eth,56845
eth btc,52821
crypto cryptocurrency,50026
crypto btc,48550
bitcoin price,48278
good project,44744
bitcoin cryptocurrency,44201
cryptocurrency bitcoin,42745
bnb bsc,39263
btc bnb,38969
bsc bitcoin,37950
btc ethereum,36414
btc cryptocurrency,35639
