n_gram,count
bitcoin,2205364
btc,1641996
crypto,844722
eth,509568
cryptocurrency,456723
project,445088
airdrop,328866
price,312733
ethereum,312250
bsc,290560
bnb,286563
binance,276756
nft,271239
blockchain,221723
buy,179100
defi,167156
amp,158914
good,153250
doge,151925
get,145455
